STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
124;12.4s;car2;No leader;No leader;73.88901691870402;[];-60@car2-wlan1
125;12.5s;car1;car3;23.77262258664537;116.56163968778421;[];-60@car1-wlan1
125;12.5s;car2;No leader;No leader;74.68883110690017;[];-60@car2-wlan1
126;12.6s;car1;car3;23.973140526589855;117.86494655790584;[];-60@car1-wlan1
126;12.6s;car2;No leader;No leader;75.45902254738535;[];-60@car2-wlan1
127;12.7s;car1;car3;24.17365846653434;119.16825342802747;[];-60@car1-wlan1
127;12.7s;car2;No leader;No leader;76.19979091094746;[];-60@car2-wlan1
128;12.8s;car1;car3;24.374176406478828;120.4715602981491;[];-60@car1-wlan1
128;12.8s;car2;No leader;No leader;76.91175927450955;[];-60@car2-wlan1
129;12.9s;car1;car3;24.574694346423314;121.77486716827073;[];-60@car1-wlan1
129;12.9s;car2;No leader;No leader;77.59524890352917;[];-60@car2-wlan1
130;13.0s;car1;car3;24.775212286367804;123.07817403839235;[];-60@car1-wlan1
130;13.0s;car2;No leader;No leader;78.25061353254878;[];-60@car2-wlan1
131;13.1s;car1;car3;24.975730226312294;124.38148090851398;[];-60@car1-wlan1
131;13.1s;car2;No leader;No leader;78.87858685722057;[];-60@car2-wlan1
132;13.2s;car1;car3;25.176248166256777;125.68478777863561;[];-60@car1-wlan1
132;13.2s;car2;No leader;No leader;79.47925699386316;[];-60@car2-wlan1
133;13.3s;car1;car3;25.376766106201266;126.98809464875723;[];-60@car1-wlan1
133;13.3s;car2;No leader;No leader;80.05333622141484;[];-60@car2-wlan1
134;13.4s;car1;car3;25.57728404614575;128.29140151887887;[];-60@car1-wlan1
134;13.4s;car2;No leader;No leader;80.60132093862325;[];-60@car2-wlan1
135;13.5s;car1;car3;25.77780198609024;129.5947083890005;[];-60@car1-wlan1
135;13.5s;car2;No leader;No leader;81.12359137011737;[];-60@car2-wlan1
136;13.6s;car1;car3;25.97831992603472;130.8980152591221;[];-60@car1-wlan1
136;13.6s;car2;No leader;No leader;81.62099178106416;[];-60@car2-wlan1
137;13.7s;car1;car3;26.17883786597921;132.20132212924375;[];-60@car1-wlan1
137;13.7s;car2;No leader;No leader;82.09364219201095;[];-60@car2-wlan1
138;13.8s;car1;car3;26.379355805923694;133.50462899936537;[];-60@car1-wlan1
138;13.8s;car2;No leader;No leader;82.54260839243143;[];-60@car2-wlan1
139;13.9s;car1;car3;26.579873745868177;134.807935869487;[];-60@car1-wlan1
139;13.9s;car2;No leader;No leader;82.96794479282977;[];-60@car2-wlan1
140;14.0s;car1;car3;26.78039168581266;136.11124273960863;[];-60@car1-wlan1
140;14.0s;car2;No leader;No leader;83.37078119322811;[];-60@car2-wlan1
141;14.1s;car1;car3;26.980909625757143;137.41454960973027;[];-60@car1-wlan1
141;14.1s;car2;No leader;No leader;83.75123779360433;[];-60@car2-wlan1
142;14.2s;car1;car3;27.181427565701625;138.7178564798519;[];-60@car1-wlan1
142;14.2s;car2;No leader;No leader;84.11051792339231;[];-60@car2-wlan1
143;14.3s;car1;car3;27.381945505646108;140.02116334997353;[];-60@car1-wlan1
143;14.3s;car2;No leader;No leader;84.44866392789865;[];-60@car2-wlan1
144;14.4s;car1;car3;27.58246344559059;141.32447022009515;[];-60@car1-wlan1
144;14.4s;car2;No leader;No leader;84.76691899096343;[];-60@car2-wlan1
145;14.5s;car1;car3;27.782981385535074;142.6277770902168;[];-60@car1-wlan1
145;14.5s;car2;No leader;No leader;85.06548655402821;[];-60@car2-wlan1
146;14.6s;car1;car3;27.983499325479556;143.9310839603384;[];-60@car1-wlan1
146;14.6s;car2;No leader;No leader;85.34539364440145;[];-60@car2-wlan1
147;14.7s;car1;car3;28.18401726542404;145.23439083046006;[];-60@car1-wlan1
